Title,Authors,Abstract,Year,URL,Citations,Readers,References,DOI,PDF
On the Efficiency of Producing Gamma-Ray Bursts from Isolated Population III Stars,"Gibran Morales-Rivera, Ramandeep Gill, S. Jane Arthur, Paz Beniamini, Jonathan Granot","The rate of long-duration gamma-ray bursts (GRBs) from isolated Pop III stars is not well known, as it depends on our poor understanding of their initial mass function (IMF), rotation rates, stellar evolution, and mass loss. A sub-population of massive ($M_{\rm ZAMS}\gtrsim20M_\odot$) Pop III stars is expected to suffer core-collapse and launch a relativistic jet that would power a GRB. In the collapsar scenario, a key requirement is that the pre-supernova star imparts sufficient angular momentum to the remnant black hole to form an accretion disc and launch a relativistic jet, which demands rapid initial rotation of the progenitor star and suppression of line-driven mass loss during its chemically homogeneous evolution. Here we explore a grid of stellar evolution models of Pop III stars with masses $20\leq M_{\rm ZAMS}/M_\odot \leq 100$, which are initially rotating with surface angular velocities $0.6\leq \Omega_0/\Omega_{\rm crit}\leq 0.9$, where centrifugally-driven mass loss ensues for $\Omega>\Omega_{\rm crit}$. Realistic accretion and jet propagation models are used to derive the initial black hole masses and spins, and jet breakout times for these stars. The GRB production efficiency is obtained over a phase space comprising progenitor initial mass, rotation, and wind efficiency. For modest wind efficiency of $\eta_{\rm wind}=0.45-0.35$, the Pop III GRB production efficiency is $\eta_{\rm GRB}\sim10^{-5}-3\times10^{-4}\,M_\odot^{-1}$, respectively, for a top-heavy IMF. This yields an observable all-sky equivalent rate of $\sim2-40\,{\rm yr}^{-1}$ by \textit{Swift}, with 75\% of the GRBs located at $z\lesssim8$. If the actual observed rate is much lower, then this would imply $\eta_{\rm wind}>0.45$, which leads to significant loss of mass and angular momentum that renders isolated Pop III stars incapable of producing GRBs and favours a binary scenario instead.",2025.0,http://arxiv.org/abs/2508.03689v1,472.0,940.0,,,
"What If, But Privately: Private Counterfactual Retrieval","Shreya Meel, Mohamed Nomeir, Pasan Dissanayake, Sanghamitra Dutta, Sennur Ulukus","Transparency and explainability are two important aspects to be considered when employing black-box machine learning models in high-stake applications. Providing counterfactual explanations is one way of catering this requirement. However, this also poses a threat to the privacy of the institution that is providing the explanation, as well as the user who is requesting it. In this work, we are primarily concerned with the user's privacy who wants to retrieve a counterfactual instance, without revealing their feature vector to the institution. Our framework retrieves the exact nearest neighbor counterfactual explanation from a database of accepted points while achieving perfect, information-theoretic, privacy for the user. First, we introduce the problem of private counterfactual retrieval (PCR) and propose a baseline PCR scheme that keeps the user's feature vector information-theoretically private from the institution. Building on this, we propose two other schemes that reduce the amount of information leaked about the institution database to the user, compared to the baseline scheme. Second, we relax the assumption of mutability of all features, and consider the setting of immutable PCR (I-PCR). Here, the user retrieves the nearest counterfactual without altering a private subset of their features, which constitutes the immutable set, while keeping their feature vector and immutable set private from the institution. For this, we propose two schemes that preserve the user's privacy information-theoretically, but ensure varying degrees of database privacy. Third, we extend our PCR and I-PCR schemes to incorporate user's preference on transforming their attributes, so that a more actionable explanation can be received. Finally, we present numerical results to support our theoretical findings, and compare the database leakage of the proposed schemes.",2025.0,http://arxiv.org/abs/2508.03681v1,480.0,830.0,,,
A DbC Inspired Neurosymbolic Layer for Trustworthy Agent Design,Claudiu Leoveanu-Condrei,"Generative models, particularly Large Language Models (LLMs), produce fluent outputs yet lack verifiable guarantees. We adapt Design by Contract (DbC) and type-theoretic principles to introduce a contract layer that mediates every LLM call. Contracts stipulate semantic and type requirements on inputs and outputs, coupled with probabilistic remediation to steer generation toward compliance. The layer exposes the dual view of LLMs as semantic parsers and probabilistic black-box components. Contract satisfaction is probabilistic and semantic validation is operationally defined through programmer-specified conditions on well-typed data structures. More broadly, this work postulates that any two agents satisfying the same contracts are \emph{functionally equivalent} with respect to those contracts.",2025.0,http://arxiv.org/abs/2508.03665v1,132.0,322.0,,,
Automated Algorithmic Discovery for Gravitational-Wave Detection Guided by LLM-Informed Evolutionary Monte Carlo Tree Search,"He Wang, Liang Zeng","Computational scientific discovery increasingly relies on algorithms to process complex data and identify meaningful patterns - yet faces persistent challenges in gravitational-wave signal identification. While existing algorithmic approaches like matched filtering (MF) and deep neural networks (DNNs) have achieved partial success, their limitations directly stem from fundamental limitations: MF's excessive computational demands arise from its reliance on predefined theoretical waveform templates, while DNNs' black-box architectures obscure decision logic and introduce hidden biases. We propose Evolutionary Monte Carlo Tree Search (Evo-MCTS), a framework that addresses these limitations through systematic algorithm space exploration guided by domain-aware physical constraints. Our approach combines tree-structured search with evolutionary optimization and large language model heuristics to create interpretable algorithmic solutions. Our Evo-MCTS framework demonstrates substantial improvements, achieving a 20.2\% improvement over state-of-the-art gravitational wave detection algorithms on the MLGWSC-1 benchmark dataset. High-performing algorithm variants consistently exceed thresholds. The framework generates human-interpretable algorithmic pathways that reveal distinct performance patterns. Beyond performance improvements, our framework discovers novel algorithmic combinations, thereby establishing a transferable methodology for automated algorithmic discovery across computational science domains.",2025.0,http://arxiv.org/abs/2508.03661v1,402.0,740.0,,,
The role of migration traps in the formation of binary black holes in AGN disks,"Maria Paola Vaccaro, Yannick Seif, Michela Mapelli","Binary black holes (BBHs) forming in the accretion disks of active galactic nuclei (AGNs) represent a promising channel for gravitational-wave production. BBHs are typically expected to originate at migration traps, i.e. radial locations where the Type I migration of embedded stellar-mass black holes (BHs) transitions from outwards to inwards. In this work, we test this assumption by explicitly simulating the radial migration of BH pairs in AGN disks under different torque prescriptions, including thermal effects and the switch to Type II migration. We quantify where and when binaries form as a function of supermassive BH (SMBH) mass, disk viscosity, and migrating BH mass. We find that while the majority of pair-up events occur near migration traps, a substantial fraction takes place elsewhere in the disk, particularly for high-viscosity disks ($\alpha=0.1-0.4$) and SMBHs with mass above a threshold of $10^{7.5}$ solar masses, where differential migration is most efficient. The inclusion of thermal torques favors pair-up in outer locations of the disk and facilitates rapid pair-up. We also investigate hierarchical BBH formation, showing that higher-generation pair-ups are more tightly clustered around trap locations. Our results provide realistic prescriptions for BBH pair-up locations and timescales, highlighting the limitations of assuming fixed BBH formation sites.",2025.0,http://arxiv.org/abs/2508.03637v1,230.0,527.0,,,
Fast radio bursts as cosmic lightning,"Parsa Kafashi, Sohrab Rahvar","We propose a new model for the origin of Fast Radio Bursts (FRBs), attributing these phenomena to sudden discharges of accumulated electric charge in the accretion disk of compact objects such as black holes. Our framework demonstrates how Compton scattering within the disk plasma generates charge separation, creating a capacitor-like system stabilized by the equilibrium between radiation pressure and electrostatic forces. We detail the discharge process through destabilizing mechanisms in this capacitor, resulting in radiative emission. We compare our model's prediction on radiation signatures with observational data, using FRB2018725A as an example to obtain key quantitative relationships. Additionally, we estimate the total charge buildup via Compton scattering for a stellar-mass black hole, constrained by the best-fit between our model and observations, and determine the corresponding electron density in the accretion disk for this mechanism to operate.",2025.0,http://arxiv.org/abs/2508.03620v1,33.0,100.0,,,
Interferometric signature of higher-order images in a parametrized framework,"Fabiano Feleppa, Fabio Aratore, Valerio Bozza","This paper investigates gravitational lensing in the strong deflection limit, focusing particularly on higher-order images produced near compact objects such as black holes and their observable impact through the visibility function. Employing a robust parametrization framework proposed by Rezzolla and Zhidenko, the study systematically explores deviations from the Schwarzschild metric. A detailed theoretical analysis of interferometric observables is provided, highlighting how higher-order images imprint distinctive, measurable patterns in the visibility function, notably characterized by a staircase-like structure. By parametrically varying metric coefficients, the analysis reveals clear dependencies between spacetime deviations and key observational signatures, specifically the step heights and periodicities in the interferometric visibility. The results enhance the theoretical groundwork for interpreting data from advanced interferometric observations, potentially enabling precise tests of general relativity and the discrimination among alternative gravitational theories.",2025.0,http://arxiv.org/abs/2508.03615v1,152.0,350.0,,,
Coronal Cells in Coronal Holes: Systematic Analysis and Implications for Coronal Evolution,"Nathalia Alzate, Simone Di Matteo, Aleida Higginson","Using advanced processing techniques, we analyze high-cadence, high-resolution extreme ultraviolet images and show that, throughout the solar cycle, mid-latitude coronal holes (CHs) are made up of ubiquitous and space-filling funnel-shaped structures (or cells) anchored to unipolar magnetic flux concentrations in network lanes. We demonstrate that the coronal cells, previously documented in the magnetically closed regions, as well as coronal plumes, inside CHs, are a particular manifestation of ubiquitous cells. The cell properties depend on the magnetic field intensity at their footpoint and connectivity in the corona, either closing in opposite polarity regions (CF-cells) or extending to form open-field (OF-cells). The OF-cells reach size scales on the order of super-granules and are characterized by dark lanes delimiting ray-like features both showing, at different levels, persistent jet-like ejections. The cells' lifetime mirrors that of magnetic flux concentrations revealed by magnetograms, slowly emerging and then disappearing in a matter of a few hours to a few days in a one-to-one correspondence. When a cell forms along the CH boundary, it can alter the CH boundary by shrinking or expanding the CH by an approximately supergranular cell unit. Therefore, coronal cells can contribute to the dynamics of CH boundary. We contextualize these observations in a ""coronal cell"" theory potentially able to provide an explanation for fine scale coronal structures and jetting activity in polar coronal holes.",2025.0,http://arxiv.org/abs/2508.03607v1,395.0,698.0,,,
Demystifying Sequential Recommendations: Counterfactual Explanations via Genetic Algorithms,"Domiziano Scarcelli, Filippo Betello, Giuseppe Perelli, Fabrizio Silvestri, Gabriele Tolomei","Sequential Recommender Systems (SRSs) have demonstrated remarkable effectiveness in capturing users' evolving preferences. However, their inherent complexity as ""black box"" models poses significant challenges for explainability. This work presents the first counterfactual explanation technique specifically developed for SRSs, introducing a novel approach in this space, addressing the key question: What minimal changes in a user's interaction history would lead to different recommendations? To achieve this, we introduce a specialized genetic algorithm tailored for discrete sequences and show that generating counterfactual explanations for sequential data is an NP-Complete problem. We evaluate these approaches across four experimental settings, varying between targeted-untargeted and categorized-uncategorized scenarios, to comprehensively assess their capability in generating meaningful explanations. Using three different datasets and three models, we are able to demonstrate that our methods successfully generate interpretable counterfactual explanation while maintaining model fidelity close to one. Our findings contribute to the growing field of Explainable AI by providing a framework for understanding sequential recommendation decisions through the lens of ""what-if"" scenarios, ultimately enhancing user trust and system transparency.",2025.0,http://arxiv.org/abs/2508.03606v1,311.0,534.0,,,
Detectability of compact intermediate-mass black hole binaries as low-frequency gravitational wave sources: the influence of dynamical friction of dark matter,"Wen-Qing Jia, Wen-Cong Chen","The black hole (BH) spin could significantly change the density of dark matter (DM) in its vicinity, creating a mini-spike of the density of DM. The dynamical friction (DF) between DM and the companion star of a BH can provide an efficient loss of angular momentum, driving the BH-main sequence (MS) star binary to evolve toward a compact orbit system. We investigate the influence of the DF of DM on the detectability of intermediate-mass black hole (IMBH)-MS binaries as low-frequency gravitational wave (GW) sources. Taking into account the DF of DM, we employ the detailed binary evolution code MESA to model the evolution of a large number of IMBH-MS binaries. Our simulation shows that the DF of DM can drive those IMBH-MS binaries to evolve toward low-frequency GW sources for a low donor-star mass, a high spike index, or a short initial orbital period. When the spike index $\gamma=1.60$, those IMBH-MS binaries with donor-star masses of $1.0-3.4~ M_{\odot}$ and initial orbital periods of $0.65-16.82~ \rm days$ could potentially evolve into visible LISA sources within a distance of $10~\rm kpc$. The DF of DM can enlarge the initial parameter space and prolong the bifurcation periods. In the low-frequency GW source stage, the X-ray luminosities of those IMBH X-ray binaries are $\sim 10^{35}-10^{36}~\rm erg\,s^{-1}$, hence they are ideal multimessenger objects.",2025.0,http://arxiv.org/abs/2508.03582v1,336.0,1184.0,,,
